feature_subset,rate,mean_acc,std_acc,avg_tokens,helpful,harmful,wrong_to_wrong,feature_count
trace_only,0.3,61.73333333333333,0.6110100926607792,2748.22,137,0,110,5
trace_only,0.5,63.66666666666667,0.7571877794400371,3603.3080000000004,166,0,205,5
parse_only,0.3,60.199999999999996,0.20000000000000018,2445.638,114,0,132,16
parse_only,0.5,62.53333333333333,0.6429100507328642,3343.7973333333334,149,0,223,16
old_bora_only,0.3,60.46666666666667,1.171893055416464,2743.3633333333332,118,0,104,21
old_bora_only,0.5,63.13333333333334,0.7571877794400371,3569.878,158,0,179,21
problem_shape_only,0.3,62.46666666666667,0.9865765724632504,2445.072,148,0,51,9
problem_shape_only,0.5,63.06666666666666,0.8082903768654768,3215.5913333333338,157,0,136,9
all_minus_trace,0.3,62.6,1.0392304845413272,2571.3733333333334,150,0,75,48
all_minus_trace,0.5,63.26666666666667,0.5033222956847171,3528.686,160,0,168,48
all_features,0.3,62.53333333333333,0.4618802153517011,2681.7386666666666,149,0,93,53
all_features,0.5,63.800000000000004,0.7211102550927985,3589.5766666666664,168,0,184,53
